Perimeter,BU_Id,BU_Name
Actemium Automation,54000211462,AA Perimeter Office
Actemium Automation,54000211448,Actemium Automation Hampshire
Actemium Automation,54000211449,Actemium Automation Nottingham
Actemium Automation,54000211450,Actemium Automation Teesside
Actemium Automation,54000227470,Actemium Automation UK 24-7 Support
Actemium Automation,54000211452,Actemium Automation Yorkshire
Actemium Automation,54000211466,Eltek Systems
Actemium Automation,54000227471,Kigtek Solutions
Actemium M&E,54000211453,Actemium Birmingham
Actemium M&E,54000211454,Actemium Coventry
Actemium M&E,54000211455,Actemium Daventry
Actemium M&E,54000227469,Actemium Design
Actemium M&E,54000211457,Actemium ICP Nottingham
Actemium M&E,54000211458,Actemium ICS Gloucester
Actemium M&E,54000211454,Actemium Rail Coventry
Actemium M&E,54000227470,Actemium UK Support Office
Actemium M&E,54000211467,HAC
Actemium M&E,54000349005,SGS Honiton
Actemium M&E,54000211486,Twyver Switchgear
Axians,54000211461,Axians Basingstoke
Axians,54000211463,Axians Coventry
Axians,54000211462,Axians Perimeter
Axians,54000211465,Axians Wokingham
"Omexom Des, Eng & Power",54000211469,Kelvin Power Consultancy
"Omexom Des, Eng & Power",54000211469,Kelvin Power Consultancy Internal
"Omexom Des, Eng & Power",54000349047,Kelvin Power Structures
"Omexom Des, Eng & Power",54000226825,Omexom Design
"Omexom Des, Eng & Power",54000377244,Omexom Design and Engineering Region
"Omexom Des, Eng & Power",54000377244,Omexom Engineering
"Omexom Des, Eng & Power",54000211474,Omexom Ireland
"Omexom Des, Eng & Power",54000377245,Omexom Power Region
"Omexom Des, Eng & Power",54000211477,Omexom UK Head Office
"Omexom Des, Eng & Power",54000349048,Omexom UK Institute
"Omexom Des, Eng & Power",54000211481,Omexom UK Renewables England
"Omexom Des, Eng & Power",54000238293,Omexom UK Renewables NI
"Omexom Des, Eng & Power",54000211482,Omexom UK Renewables Scotland
Omexom North,54000349049,ASTI - Fort Augustus
Omexom North,54000349049,Asti Emmock
Omexom North,54000211473,NorPower
Omexom North,54000211475,Omexom Major Projects Scotland
Omexom North,54000377249,Omexom Scotland Region
Omexom North,54000211483,Omexom UK Substations
Omexom North,54000211485,Omexom UK Transmission Scotland
Omexom South,54000377244,Omexom England Region
Omexom South,54000348900,Omexom Major Projects - GGP
Omexom South,54000227474,Omexom Major Projects - Harker
Omexom South,54000227474,Omexom Major Projects - Hylton Castle
Omexom South,54000227468,Omexom Power Solutions
Omexom South,54000227468,Omexom UK Power Major Projects
Omexom South,54000211478,Omexom UK Transmission England
Omexom South,54000377250,Omexom UK Plant and Equipment
VE UK&RoI,54000227472,VE UK Holding
